trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD
107,0.06236857252972306,1.3637082029534082,0.04966065548174573,0.43209565541962536,1.1482531729755459,2.786320012075759,2.968380020643677,52
108,0.01634962679845489,1.3510013147534246,0.05577355608042017,0.43130774354237095,1.1487407763201694,2.7847683351810217,2.960575119278596,55
109,0.025443277968177934,1.3653280041112479,0.049345800592986724,0.42488108659062535,1.1292564443436226,2.7403088236575894,2.5022532094002607,48
110,-0.00045769126757949353,1.2003276944287093,0.05429129090166939,0.41707221112295306,1.1655520243777293,2.756495984270975,2.968838661594154,52
111,0.018512284510383604,1.4111730370788889,0.05335537045202591,0.44914117911397283,1.1087691863593292,2.773504444039318,2.9109746391748126,53
112,0.0017587190077881652,1.366175137754401,0.04857670845245735,0.4438587867625129,1.190243940785292,2.797485769512707,2.8354813242310337,50
113,0.06072322541647318,1.3414515766701989,0.05114784402050081,0.43915253312539954,0.8489904586499448,2.7640136742378534,2.8866169213742943,51
114,0.050563557141580846,1.3417015832583248,0.05099746873185031,0.44021135110436277,1.0898918637025696,2.7276954170639107,2.8971650985282023,51
115,0.050539722468180774,1.3356291815373844,0.05096810865647489,0.4401302940171233,1.0903976437012715,2.7258161283861395,2.9487354475769254,51
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22
1,-5.0,1.5464704583099742,0.056039025411012314,0.4416145155592091,0.8102922471479013,2.7819459112971963,2.798931168960506,27
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22,-0.013382385422506483
1,-5.0,1.4404460046972836,0.0597825402228616,0.3041168988591605,1.2849549260809972,2.699465584480253,2.0548069328139316,26,-0.08165954901465662
116,0.0266574455794189,1.3275731451134105,0.050842486702814785,0.4408621568713417,1.0889098808291264,2.7030625658681497,2.933648420947785,49
117,0.004669253996606205,1.3808544668582,0.05137834530586248,0.4293116793951348,1.0484076226178956,2.6862624111911457,2.979962175722328,47
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22,-0.013382385422506483
1,-5.0,1.4404460046972836,0.0597825402228616,0.3041168988591605,1.2849549260809972,2.699465584480253,2.0548069328139316,26,-0.08165954901465662
119,0.005965142475599682,1.3084265323341375,0.04735232501944281,0.43443340448838647,1.0629420199481372,2.726136118522347,2.949898336387387,52,-0.06075471078973676
120,0.030793423019818342,1.3469911265533798,0.04967749314325042,0.44534930811540113,1.1426322353504403,2.721898290795213,2.895749359252897,53,-0.006443812391857526
121,0.08559063772959939,1.3564099358602786,0.04881828261432208,0.4394600003016861,1.1231126770451374,2.7125938965578578,2.9984828481109713,51,-0.0918775947969832
122,0.035472265861828584,1.2915678650479545,0.04799624829808785,0.43877321379988465,1.1214379349677408,2.708197674033199,2.924531397312973,51,-0.09954520711263819
123,0.01721710149138288,1.3561938193565684,0.050140686410147454,0.4236665202493429,1.081322533049758,2.749983328906253,2.9879345160323942,50,-0.09943200374659483
124,0.07132350939465638,1.332051848269134,0.0467271138672204,0.4497718471835286,1.1143196407326719,2.733769593170624,2.9438403490260723,52,-0.05172387520174244
125,0.05304576137468958,1.3327852526821307,0.04888459839057252,0.45174800774248747,1.0973620268435997,2.6454419436639056,2.9978605546195403,52,-0.05191759669389382
126,0.03753405559326753,1.3345578841146566,0.04482076353714309,0.35101141384277923,1.0987576559521786,2.6471657651802083,2.9523335605015273,51,-0.0523805985992692
127,0.07602523098748713,1.3746510437662836,0.04638990480232636,0.4508249728058974,1.0899595192212301,2.762606299581934,2.9816440903620616,54,-0.032876303264944805
128,0.06825202310528616,1.361290360220822,0.04877826113373867,0.4534912753363008,1.1151559798167037,2.6667587855803574,2.9927308190722695,54,-0.026902923303149428
129,0.04584439939301973,1.3782886587352499,0.0466049308761784,0.4510043118748532,1.0947576837120252,2.6056659852682387,2.996468131275474,54,-0.026138461993332817
130,0.05464540161282477,1.3621040630529035,0.04560902668879722,0.45404144397022694,1.128666642576235,2.669895295563766,2.9712431787592912,55,-0.033665463437590575
131,0.0466293490578632,1.392338422849514,0.04609433415676319,0.4614156284930218,1.1305474099293644,2.6391501656697285,2.97383063348823,55,-0.03225584126882347
132,0.057789825408825345,1.3615599421424986,0.0449022762236477,0.4549665109335145,1.1197236109990154,2.6826994752324507,2.963525836590133,54,-0.033458481507415795
133,0.028598890613648145,1.3740803876037169,0.04465261805135412,0.45420814729628445,1.134869058704432,2.6700820864444283,2.9729519447998602,54,-0.029254800179918425
134,0.07365634537444513,1.3519748567213206,0.04606366513601198,0.4688837272252349,1.119218805560912,2.612023627165454,2.9241901719263015,55,-0.03640529208892549
135,0.08580759703464604,1.3680177726206337,0.043373613868838784,0.4648736650702041,1.1173082263513185,2.6594285916651246,2.9977873864943247,55,-0.033457761345395395
136,0.0823157214456164,1.3618194431000537,0.0432919283541861,0.47052460060535417,1.1143251685168973,2.6214642783296846,2.996102684263281,55,-0.03385494182762291
137,0.08861979589279118,1.3642784308674345,0.04336525861950903,0.4700971256105338,1.1130859817925605,2.6785280180007423,2.933414221171059,55,-0.03262993446907994
138,0.07540999186893661,1.3959005020300774,0.043253982598201984,0.47609399423433924,1.114097745867939,2.6220170557655536,2.927529599774418,55,-0.03398361766695235
139,0.08201140154662384,1.3867616852496019,0.04362284626237327,0.48262678531381215,1.1139791175545117,2.6194554716987093,2.9367793651453713,55,-0.03303478137816516
140,0.0919787799831131,1.3905448426677736,0.04275096843584161,0.47398978437721767,1.1162299580867845,2.6112171969851663,2.928695109931294,55,-0.03442331542274674
141,0.07650621091162481,1.3928261895832401,0.04295671385595138,0.48236259982446955,1.1150670256948447,2.6245630571186203,2.9300749645064648,55,-0.03477134215422423
142,0.06520844960695364,1.396710304737211,0.04266288724838897,0.48221340423670117,1.115968692214824,2.5847828374768067,2.927117694474286,55,-0.035448511751614016
