trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD,ENGINE3_RS_THRESHOLD,MAX_OPEN_POSITIONS,CCI_STRICT_FLOOR,CCI_RLX_FLOOR
34,-5.0,1.4636340042878966,0.06090508175768867,0.39933337625745446,1.1099212333768609,2.307111066421507,3.561758008370671,61,-0.011749522897366943,4,-53.823706392817726,-35.2754159839364
35,0.01751231297587693,1.3463057038587953,0.0541559999922244,0.5019423460687594,1.0297941645661415,2.248317835355374,2.652035064842943,56,-0.023019706533739394,4,-75.47884211780143,-5.571923885340464
36,0.009791837402687622,1.3929667452835588,0.056671553665049564,0.5346073187563348,0.9095300047327979,2.342490856931762,3.13434646529547,58,-0.041039074871647346,3,-44.75043579390533,-25.599872154013827
37,-5.0,1.290071375046154,0.04653302760711138,0.3023207944483125,0.9318973973011158,2.4266983795807318,2.8006836193722675,65,-0.05482849791981724,4,-25.397597744553128,-19.454512587087564
38,-3.0,1.5160523079721495,0.053439852701153936,0.3677017428409597,0.837937757143455,2.3719431831419695,3.8292110615320674,54,-0.06016530950960084,5,-38.20200022880918,-14.982004991969372
39,0.03265629865785801,1.5707688779796187,0.04006596082530604,0.428734803383677,1.0141894523542125,2.5314203532314714,3.4194416033520447,58,-0.0989720624668342,3,-56.535557947530975,-23.059729326453603
40,-5.0,1.2041944796288204,0.04934884141671649,0.4902666885890685,0.8887077256505654,2.609165409181715,2.975589557832718,61,-0.020822538974432543,4,-36.7014019287335,-17.600896644092835
41,0.032434790657461604,1.4255533782251342,0.04261575709648268,0.4358042230062355,1.0718572721935455,2.3850585083780067,2.6136089148673256,47,-0.028127165264917642,4,-23.739541873890207,-23.9838610395952
42,0.038127902361981526,1.429126292123985,0.045560881978428905,0.46600373551746094,1.1590405861690949,2.4157573618947654,2.6198231078906726,50,-0.024111959576672667,4,-28.290176392381845,-1.046557183997404
43,0.02588820922920407,1.4762116530154845,0.04573780195696109,0.47102503361495035,1.2163976410773383,2.470502965935101,2.861933032546338,50,-0.01636703827504918,4,-28.7078457631161,-6.1482620868478115
44,-0.0012554258002316,1.552324573646962,0.057109451148639113,0.4621933510025383,1.2852218019879063,2.423775106656587,2.7380898843344386,51,-0.006994760883694204,4,-33.849336954264984,-13.517074901061019
45,0.01372359712944289,1.4346877072788962,0.06036899424337171,0.404026101634667,1.1527018348786795,2.5007225814842142,3.1878269238844843,46,-0.03361153881096672,4,-43.602539781829535,-8.20292993792982
46,0.004650932871407479,1.3691829910166715,0.04445040732772099,0.5047661282230367,1.1538638875780158,2.3221440443991757,2.594295981435698,48,-0.024668959744952385,4,-20.042602313739295,-2.995720904602904
47,0.010253378879890763,1.4586807534893942,0.04789738515421024,0.4441404826853873,0.9538710388263801,2.2857423740699327,3.6180345095973294,57,-0.036872123926135876,4,-34.03584602651717,-15.935999915103075
48,-3.0,1.405557681279532,0.05069581811991387,0.49376896624679256,0.9696606552004318,2.739399929776962,2.8602803496806133,45,-0.04910561308481351,5,-48.83780092125397,-39.435299454184644
49,-0.0038995709737649326,1.5037106270475489,0.0374674361813629,0.45984577152055595,1.2675167422959932,2.409516458333508,3.092213696563152,51,-0.040165803434482575,4,-25.678068035349895,-29.266009784871812
50,0.004392056991867861,1.5392326582971445,0.05253182551260953,0.5299032351983153,1.045869096799456,2.445401256456115,3.5051671388357692,55,-0.017233667177672166,4,-38.61190492585361,-36.674637763424165
51,0.03847243299002384,1.4103706381859764,0.04148188722348519,0.42828561935046366,1.1276187906573654,2.3864047738073078,2.500339906998432,49,-0.027352218745395587,4,-22.91050652806591,-0.0625272257256565
52,-0.005255975611985193,1.4117969695472243,0.04118990015020404,0.4092627171464487,1.1751529494741666,2.3872626419513443,2.59504452205312,49,-0.026481002965108295,4,-23.180608164686817,-0.01955237964475337
53,0.007809075515485686,1.3836195277411818,0.04008805332543269,0.42428609323041866,1.0865496090820732,2.334291293631434,2.518378236020317,47,-0.03470226197517834,4,-29.06931996757008,-3.398258826508188
54,0.03265503251078882,1.3494320213280502,0.04351927928678779,0.4439083374347196,1.1296661949853557,2.411627555007933,3.3181300825632447,50,-0.03071014512612344,4,-22.566590758196625,-27.150670315518507
55,-5.0,1.4867584411673314,0.06995406148377223,0.510987009609402,1.187829097651228,2.2425227198012423,2.679025425809754,60,-0.020374878683893875,4,-31.295178297639367,-22.238001279561285
56,0.003935599084605581,1.4708650016893776,0.037464804457188486,0.3765310637415896,1.2237977302050989,2.5227097672174192,2.7596491840197723,52,-0.043891515213782595,4,-53.121146429267306,-2.703376426651498
57,0.009637864755073227,1.5832411388878884,0.04829265799651683,0.3906339112839828,1.049462119525226,2.2969981670065,2.615491090936787,48,-0.05081473879589428,4,-26.92961198047857,-0.38495493622361465
58,0.0276721847941757,1.434475746996668,0.04641460902423,0.4822493167939573,1.141920881540207,2.3730328471697617,2.8137950565485372,51,-0.046380603474810635,4,-24.55909879224857,-19.99826453233374
59,-5.0,1.4471709035319387,0.04440731656784647,0.3380931620033568,1.0114500377572782,2.4511597165127075,2.5527007509198074,60,-0.007554028576044033,4,-34.96508409734913,-1.6742085898523404
60,0.006713470568558926,1.5686614999008957,0.04093402745280619,0.4326103800646821,0.97531993980178,2.468029502890263,2.5023016017014457,56,-0.03176950699784925,3,-21.919002001245104,-6.581120884204936
61,0.04676848543061534,1.4184022363450273,0.04251876585160177,0.4190749199080138,1.1209971212259915,2.429204113640752,2.6696831625833024,49,-0.028793593521918796,4,-28.050302345962763,-18.389228960862113
62,0.039505192627603825,1.367909260825242,0.0431540277851272,0.3901909326129622,1.0994149581458437,2.4339328863207337,2.680884873832671,49,-0.03947374662381136,4,-29.979095070625025,-31.82745457531386
63,0.05057425620193669,1.361704512280889,0.042848003493532356,0.38315027520412626,1.0946835283676695,2.417726904453728,2.7085387467352042,49,-0.024598491512704757,4,-27.891491993009346,-31.74785891149854
64,0.011418933359793451,1.318838080119595,0.038982053299259516,0.3883370024721457,1.0946183428631708,2.4306753109139354,2.9038290702098215,49,-0.038811611276007234,4,-31.458713696357147,-32.4267829358275
65,0.03472868152750448,1.362804639943737,0.04190214178067004,0.3547756700719122,1.1200001391642362,2.393955803670872,2.709684153723674,47,-0.035504811212431306,4,-26.943619900963647,-30.660960179237513
66,0.01851128613019056,1.3816898977192582,0.04255647403814594,0.37630573554931723,1.105282224652298,2.4756968904052306,3.344308628638238,48,-0.04370822216608215,4,-20.172436021756504,-34.2862791437948
67,5.1671427483371035e-05,1.3349994317082878,0.04355499242648058,0.4143653387150999,1.0583159270293632,2.350442772638116,3.9698558786317166,51,-0.039009690134816186,4,-32.40145464434282,-35.84676256054743
68,0.0038603187517784344,1.360378651303877,0.03864957547834081,0.3673484527651816,1.1198826413919736,2.5137539558824535,3.232550413876634,48,-0.04818835026278724,4,-30.575525454241905,-28.263472903831435
69,0.008958641603079118,1.30609751235914,0.0402732150345754,0.3942570866062268,1.087515857838816,2.4865722209318593,2.568580914089049,49,-0.014995622545457322,4,-24.002406225901417,-31.673900984906346
70,-0.0076515861331735635,1.2808624683565357,0.035995532917798695,0.3837059796791427,1.1366742166799453,2.36970321477698,3.0774748072197875,53,-0.05425296513756604,5,-25.44016956735533,-25.778240105463812
71,0.026951395340236682,1.3911911474839056,0.04540714472390398,0.4073099619933652,1.1630911752680062,2.4074013379522663,2.6520813640404186,50,-0.024403133134365297,4,-28.295223076818946,-29.829118147395786
72,-0.007429518592382047,1.4011659912057464,0.043551673868548385,0.45120778277046547,1.1876355542810486,2.4273570036726464,2.8306987035887476,49,-0.02589128946962771,4,-28.048524946688577,-33.129982057919214
73,0.03287661929497732,1.4179379205938132,0.046976755564972446,0.42200416634984494,1.1689262486076157,2.4525177911264158,2.667743727362885,52,-0.02873014239572777,4,-30.234481013152,-11.652168008983777
74,-0.005772221532622037,1.3723705647590043,0.04253015911612178,0.4001824150999111,1.2041796077665243,2.380497183269635,2.7501823084658095,50,-0.022668521594515264,4,-35.26197253785345,-37.61513246573441
75,0.0041470050533363185,1.4555424789422633,0.04461757841454753,0.5302247959512927,0.9416781452351766,2.556356993410719,2.917077692882941,47,-0.02075582554929131,4,-21.98737198993063,-4.594575844141795
76,0.042820599551781934,1.5066964815459243,0.0458122919469478,0.36878987981183714,1.1003457810993844,2.4052060852947355,2.558623685582451,48,-0.0324652324163005,4,-66.3630246570743,-1.3472584466747253
77,0.04851008219829862,1.5042059631357996,0.048638121519880485,0.34519681589265866,1.068327810486352,2.437024928391004,2.5646412643518905,48,-0.03183405554762833,4,-75.53685392413799,-18.04952073916732
78,0.010331493052705006,1.5079436609822159,0.04875795932165629,0.34223887713448753,1.0282428347037587,2.4377566174779615,3.00350388528364,46,-0.03266656564190637,4,-73.09672876572736,-17.409427886347974
79,0.03253881096168205,1.5343796817763795,0.04974882243892097,0.3239663723966306,1.0628090342704595,2.461413690380075,3.4714950888711513,45,-0.042295317807924816,4,-77.3136997463805,-9.779710881806624
80,0.004839780075461437,1.49508605795927,0.04726289025481622,0.3530277588389817,0.9977569426568047,2.494441133068831,2.5674674331561103,48,-0.03693671778518491,4,-64.86591251479209,-18.585383760945028
81,0.063448377508063,1.5114378013926222,0.041268202161772786,0.3683739995968712,1.1054016495300147,2.3948741179771034,2.503084984346008,49,-0.029885752502217526,4,-70.38779737972204,-21.210082021232495
82,0.06053450579628119,1.5109297453801969,0.04496334023361868,0.36514997410492905,1.1035214379341292,2.362520418400116,2.6464985499785274,46,-0.034624918827174896,4,-69.89863174915011,-20.720940246453168
83,0.03623424672392793,1.52440735241822,0.04632128252556528,0.36962425067683535,1.0731846535103642,2.3274055916767,2.550013724712483,46,-0.030468316931942546,4,-68.62325725929037,-20.58374418344087
84,0.027371413438352706,1.5124019202540686,0.04487417508438008,0.3565206983561876,1.0408897750828774,2.353706071530283,2.6426141012380784,47,-0.029972956008099263,4,-71.46019470181946,-16.32248354259264
85,0.04941927014090268,1.5578547005152334,0.05168142914774004,0.3480433326175073,1.0791384669065394,2.402748210160028,2.7741242809024604,45,-0.03363469522166552,4,-67.81644484323078,-24.764911830224918
86,0.05250743697478992,1.5486287845441913,0.05038024309315573,0.341794270602783,1.0815998355723666,2.398970508668546,4.2670933506087545,45,-0.03287385333858646,4,-79.83002770284645,-24.841499688428144
87,0.042261867869022175,1.5590782632109417,0.05126819370087678,0.3368767965711213,1.0816363327130718,2.367385649506016,2.7940671930463314,46,-0.03506888553042902,4,-79.13940362856938,-24.623219842266536
88,0.04375630042150393,1.562004421096419,0.05075331394021685,0.3446968957992909,1.0770298614102134,2.3615910118236876,4.346953171539605,45,-0.034423647575152046,4,-74.6566428317034,-18.268507090013014
89,0.028077094904656298,1.5979943002013532,0.050755675922193905,0.31143900614293535,1.1145777301012725,2.3958406444263756,4.44869210253083,45,-0.05307985791423838,4,-74.78252361545474,-18.6212001721061
90,0.027113312540115043,1.543065516402736,0.053028988824521665,0.31241927467805003,1.0620068363867676,2.4000891244303566,4.167556274475911,45,-0.019199285280801504,4,-69.99578718444394,-21.399880561613568
91,0.027980288828742574,1.5437879504509144,0.05282184015281695,0.33270952297713835,1.0581420811764268,2.307416064598515,3.5775082441880826,45,-0.01899043719625451,4,-68.8713543531276,-21.447196355194645
92,0.046353722515476634,1.5578800591980901,0.05207597730768523,0.329204520581301,1.0742529392701479,2.3355793722776936,4.3343090919508604,45,-0.045530064934317334,4,-76.88896316902363,-23.31476170587572
93,0.042258234517425046,1.5573882669091148,0.05191338391142864,0.34523323438287734,1.0919825285228848,2.3362078336840013,4.277420168772598,46,-0.044528941891573345,4,-76.06973883654896,-19.08640908815016
94,0.04081326743735393,1.5726872873127125,0.05528738731893185,0.348304781386298,1.0918083554782234,2.334735102452134,4.242326894806833,46,-0.045992490213774224,4,-76.99844020408302,-23.248828537278357
95,0.02681215992156796,1.5765338128656325,0.05628267416436922,0.3613840240653753,1.0198436771344292,2.3768618504653176,3.7271369012407423,47,-0.057087577189892574,4,-79.63105385737694,-23.50550614090542
96,0.06598580240870569,1.531128301372282,0.05007258078448265,0.3601832986037826,1.1450751460843853,2.4245495826642744,4.382134784900079,47,-0.05980014110207585,4,-79.84815239245854,-20.244045802338107
97,0.03845719724247628,1.5890369504802384,0.049916427331514863,0.32495712871587806,1.1406974609409852,2.4186374970540574,4.060723317477933,45,-0.04165033135678298,4,-72.54544489049096,-26.570508830761653
98,-5.0,1.5183588232185243,0.04783757290098963,0.3614548236448212,1.1345519903779868,2.4243105787563883,4.413297909064996,59,-0.06421258328877263,4,-73.19808918819415,-20.464019121803357
